route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"92-19-j22-1","TA+w0100","1098.TA.92-19-j22-1.7.R","Vernier"," village","18948",9352
"92-19-j22-1","TA+jp000","1099.TA.92-19-j22-1.7.R","Vernier"," village","18948",9352
"92-19-j22-1","TA+w0100","11.TA.92-19-j22-1.1.H","Genève"," Jonction","18653",9352
"92-19-j22-1","TA+e3","110.TA.92-19-j22-1.1.H","Genève"," Jonction","21173",9352
"92-19-j22-1","TA+qW","1100.TA.92-19-j22-1.7.R","Vernier"," village","19375",9352
"92-19-j22-1","TA+qW","1101.TA.92-19-j22-1.7.R","Vernier"," village","20489",9352
"92-19-j22-1","TA+jp000","1102.TA.92-19-j22-1.7.R","Vernier"," village","19088",9352
"92-19-j22-1","TA+w0100","1103.TA.92-19-j22-1.7.R","Vernier"," village","19088",9352
"92-19-j22-1","TA+qW","1104.TA.92-19-j22-1.7.R","Vernier"," village","20469",9352
"92-19-j22-1","TA+w0100","1105.TA.92-19-j22-1.7.R","Vernier"," village","19052",9352
"92-19-j22-1","TA+jp000","1106.TA.92-19-j22-1.7.R","Vernier"," village","19052",9352
"92-19-j22-1","TA+jp000","1107.TA.92-19-j22-1.7.R","Vernier"," village","19131",9352
"92-19-j22-1","TA+w0100","1108.TA.92-19-j22-1.7.R","Vernier"," village","19131",9352
"92-19-j22-1","TA+jp000","1109.TA.92-19-j22-1.7.R","Vernier"," village","19204",9352
"92-19-j22-1","TA+jp000","111.TA.92-19-j22-1.1.H","Genève"," Jonction","18047",9352
"92-19-j22-1","TA+w0100","1110.TA.92-19-j22-1.7.R","Vernier"," village","19204",9352
"92-19-j22-1","TA+w0100","1111.TA.92-19-j22-1.7.R","Vernier"," village","18340",9352
"92-19-j22-1","TA+jp000","1112.TA.92-19-j22-1.7.R","Vernier"," village","18340",9352
"92-19-j22-1","TA+w0100","1113.TA.92-19-j22-1.7.R","Vernier"," village","19080",9352
"92-19-j22-1","TA+jp000","1114.TA.92-19-j22-1.7.R","Vernier"," village","19080",9352
"92-19-j22-1","TA+jp000","1115.TA.92-19-j22-1.7.R","Vernier"," village","19182",9352
"92-19-j22-1","TA+w0100","1116.TA.92-19-j22-1.7.R","Vernier"," village","19182",9352
"92-19-j22-1","TA+jp000","1117.TA.92-19-j22-1.7.R","Vernier"," village","19154",9352
"92-19-j22-1","TA+w0100","1118.TA.92-19-j22-1.7.R","Vernier"," village","19154",9352
"92-19-j22-1","TA+w0100","1119.TA.92-19-j22-1.7.R","Vernier"," village","18967",9352
"92-19-j22-1","TA+w0100","112.TA.92-19-j22-1.1.H","Genève"," Jonction","18047",9352
"92-19-j22-1","TA+jp000","1120.TA.92-19-j22-1.7.R","Vernier"," village","18967",9352
"92-19-j22-1","TA+w0100","1121.TA.92-19-j22-1.7.R","Vernier"," village","19047",9352
"92-19-j22-1","TA+jp000","1122.TA.92-19-j22-1.7.R","Vernier"," village","19047",9352
"92-19-j22-1","TA+qW","1123.TA.92-19-j22-1.7.R","Vernier"," village","20465",9352
"92-19-j22-1","TA+qW","1124.TA.92-19-j22-1.7.R","Vernier"," village","20386",9352
"92-19-j22-1","TA+w0100","1125.TA.92-19-j22-1.7.R","Vernier"," village","18958",9352
"92-19-j22-1","TA+jp000","1126.TA.92-19-j22-1.7.R","Vernier"," village","18958",9352
"92-19-j22-1","TA+jp000","1127.TA.92-19-j22-1.7.R","Vernier"," village","18284",9352
"92-19-j22-1","TA+w0100","1128.TA.92-19-j22-1.7.R","Vernier"," village","18284",9352
"92-19-j22-1","TA+qW","1129.TA.92-19-j22-1.7.R","Vernier"," village","20331",9352
"92-19-j22-1","TA+jp000","113.TA.92-19-j22-1.1.H","Genève"," Jonction","18184",9352
"92-19-j22-1","TA+qW","1130.TA.92-19-j22-1.7.R","Vernier"," village","20341",9352
"92-19-j22-1","TA+w0100","1131.TA.92-19-j22-1.7.R","Vernier"," village","19010",9352
"92-19-j22-1","TA+jp000","1132.TA.92-19-j22-1.7.R","Vernier"," village","19010",9352
"92-19-j22-1","TA+qW","1133.TA.92-19-j22-1.7.R","Vernier"," village","19344",9352
"92-19-j22-1","TA+w0100","114.TA.92-19-j22-1.1.H","Genève"," Jonction","18184",9352
"92-19-j22-1","TA+qV","115.TA.92-19-j22-1.1.H","Genève"," Jonction","16900",9352
"92-19-j22-1","TA+qV","116.TA.92-19-j22-1.1.H","Genève"," Jonction","17011",9352
"92-19-j22-1","TA+qW","117.TA.92-19-j22-1.1.H","Genève"," Jonction","19711",9352
"92-19-j22-1","TA+qV","118.TA.92-19-j22-1.2.H","Onex"," cité","17524",9352
"92-19-j22-1","TA+qV","119.TA.92-19-j22-1.2.H","Onex"," cité","16743",9352
"92-19-j22-1","TA+e3","12.TA.92-19-j22-1.1.H","Genève"," Jonction","21152",9352
"92-19-j22-1","TA+qW","120.TA.92-19-j22-1.2.H","Onex"," cité","19745",9352
"92-19-j22-1","TA+e3","121.TA.92-19-j22-1.2.H","Onex"," cité","20933",9352
"92-19-j22-1","TA+w0100","122.TA.92-19-j22-1.2.H","Onex"," cité","18962",9352
"92-19-j22-1","TA+e3","123.TA.92-19-j22-1.2.H","Onex"," cité","20976",9352
"92-19-j22-1","TA+qW","124.TA.92-19-j22-1.2.H","Onex"," cité","19836",9352
"92-19-j22-1","TA+w0100","125.TA.92-19-j22-1.2.H","Onex"," cité","18212",9352
"92-19-j22-1","TA+jp000","126.TA.92-19-j22-1.2.H","Onex"," cité","18962",9352
"92-19-j22-1","TA+jp000","127.TA.92-19-j22-1.2.H","Onex"," cité","18212",9352
"92-19-j22-1","TA+w0100","128.TA.92-19-j22-1.2.H","Onex"," cité","18233",9352
"92-19-j22-1","TA+e3","129.TA.92-19-j22-1.2.H","Onex"," cité","21481",9352
"92-19-j22-1","TA+e3","13.TA.92-19-j22-1.1.H","Genève"," Jonction","21100",9352
"92-19-j22-1","TA+jp000","130.TA.92-19-j22-1.2.H","Onex"," cité","18233",9352
"92-19-j22-1","TA+qW","131.TA.92-19-j22-1.2.H","Onex"," cité","19796",9352
"92-19-j22-1","TA+qV","132.TA.92-19-j22-1.2.H","Onex"," cité","17147",9352
"92-19-j22-1","TA+e3","133.TA.92-19-j22-1.2.H","Onex"," cité","21057",9352
"92-19-j22-1","TA+e3","134.TA.92-19-j22-1.2.H","Onex"," cité","21525",9352
"92-19-j22-1","TA+jp000","135.TA.92-19-j22-1.2.H","Onex"," cité","19137",9352
"92-19-j22-1","TA+w0100","136.TA.92-19-j22-1.2.H","Onex"," cité","19137",9352
"92-19-j22-1","TA+jp000","137.TA.92-19-j22-1.2.H","Onex"," cité","19175",9352
"92-19-j22-1","TA+w0100","138.TA.92-19-j22-1.2.H","Onex"," cité","19175",9352
"92-19-j22-1","TA+qW","139.TA.92-19-j22-1.2.H","Onex"," cité","20447",9352
"92-19-j22-1","TA+qW","14.TA.92-19-j22-1.1.H","Genève"," Jonction","19959",9352
"92-19-j22-1","TA+jp000","140.TA.92-19-j22-1.2.H","Onex"," cité","19085",9352
"92-19-j22-1","TA+w0100","141.TA.92-19-j22-1.2.H","Onex"," cité","19085",9352
"92-19-j22-1","TA+qW","142.TA.92-19-j22-1.2.H","Onex"," cité","19343",9352
"92-19-j22-1","TA+jp000","143.TA.92-19-j22-1.2.H","Onex"," cité","19203",9352
"92-19-j22-1","TA+w0100","144.TA.92-19-j22-1.2.H","Onex"," cité","19203",9352
"92-19-j22-1","TA+qW","145.TA.92-19-j22-1.2.H","Onex"," cité","19374",9352
"92-19-j22-1","TA+qW","146.TA.92-19-j22-1.2.H","Onex"," cité","20549",9352
"92-19-j22-1","TA+qV","147.TA.92-19-j22-1.3.H","Genève"," Jonction","16843",9352
"92-19-j22-1","TA+w0100","148.TA.92-19-j22-1.3.H","Genève"," Jonction","19202",9352
"92-19-j22-1","TA+w0100","149.TA.92-19-j22-1.3.H","Genève"," Jonction","18324",9352
"92-19-j22-1","TA+e3","15.TA.92-19-j22-1.1.H","Genève"," Jonction","20932",9352
"92-19-j22-1","TA+qW","150.TA.92-19-j22-1.3.H","Genève"," Jonction","20520",9352
"92-19-j22-1","TA+jp000","151.TA.92-19-j22-1.3.H","Genève"," Jonction","19005",9352
"92-19-j22-1","TA+w0100","152.TA.92-19-j22-1.3.H","Genève"," Jonction","19005",9352
"92-19-j22-1","TA+e3","153.TA.92-19-j22-1.3.H","Genève"," Jonction","21413",9352
"92-19-j22-1","TA+qV","154.TA.92-19-j22-1.3.H","Genève"," Jonction","17124",9352
"92-19-j22-1","TA+jp000","155.TA.92-19-j22-1.3.H","Genève"," Jonction","19136",9352
"92-19-j22-1","TA+w0100","156.TA.92-19-j22-1.3.H","Genève"," Jonction","19136",9352
"92-19-j22-1","TA+qW","157.TA.92-19-j22-1.3.H","Genève"," Jonction","19816",9352
"92-19-j22-1","TA+w0100","158.TA.92-19-j22-1.3.H","Genève"," Jonction","19023",9352
"92-19-j22-1","TA+jp000","159.TA.92-19-j22-1.3.H","Genève"," Jonction","19023",9352
