stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
1401807,"Thoiry gare",46.2319089810199,5.97949195912849,,
1401808,"Thoiry Place en Poulet",46.2473859122683,5.98944529247792,,
1401809,"Thoiry Pôle emploi",46.2377498453056,6.01163367999876,,
1401811,"Tougin hôpital",46.3250834993791,6.05723216382701,,
1401812,"Valleiry Espace FOL",46.1090823057307,5.97184729605957,,
1401813,"Veigy village (F)",46.2691058960318,6.25793376463293,,
1401814,"Versonnex Bois-Chatton (F)",46.2956960307548,6.10068367412592,,
1401842,"Viry Chef-Lieu",46.1179563608553,6.03710091830709,,
1401843,"Viry église",46.1187347185743,6.03728956451678,,
1401844,"Viry Essertet",46.1149237743183,6.01920647784494,,
1401845,"Viry Germagny",46.1135163982038,6.00739363185712,,
1401846,"Viry P+R (F)",46.1300227827185,6.03048033466221,,
